Keyword,产品系列/类型,原类型,备注
spirax sarco dbb3,截止阀,product,product
spirax sarco utd30l,疏水阀,product,product
spirax sarco ke43,控制阀,product,product
lea31 spirax sarco,控制阀,product,product
spirax sarco pp5,阀门定位器,product,product
spirax sarco m800,流量计算机,product,product
spirax sarco p25,减压阀,pending,alias
spirax sarco p25 3d,减压阀,pending,alias
spirax sarco p25 instrucciones vapor,减压阀,pending,alias
spirax sarco tf14,疏水阀,pending,alias
spirax sarco tf14 manual,疏水阀,pending,alias
spirax sarco pn600,气动控制器,pending,product
notice spirax sarco pn600,气动控制器,pending,docs
spirax sarco el7213a se,执行器,product,official-search
spirax sarco sx100e,过程控制器,product,official-search
rest spirax sarco sx100e,过程控制器,product,official-search
spirax sarco sx25,过程控制器,product,official-search
spirax sarco sx25 instrukcja,过程控制器,product,official-search
spirax sarco sx25-ma,过程控制器,product,official-search
b3-125 spirax sarco,疏水阀,pending,B-series inverted bucket trap family
b3-125 spirax sarco costo,疏水阀,pending,B-series inverted bucket trap family
b3-250 spirax sarco trap 1,疏水阀,pending,B-series inverted bucket trap family
b4 spirax sarco,疏水阀,pending,B-series inverted bucket trap family
b4 spirax sarco pdf,疏水阀,pending,B-series inverted bucket trap family
b5 spirax sarco,疏水阀,pending,B-series inverted bucket trap family
b5-125 spirax sarco,疏水阀,pending,B-series inverted bucket trap family
b5125 spirax sarco,疏水阀,pending,B-series inverted bucket trap family
cuantos bares trabaja la b4 spirax sarco,疏水阀,pending,B-series inverted bucket trap family
spirax sarco b-4,疏水阀,pending,B-series inverted bucket trap family
spirax sarco b-5,疏水阀,pending,B-series inverted bucket trap family
spirax sarco b5-180,疏水阀,pending,B-series inverted bucket trap family
spirax sarco ft10,疏水阀,product,official-search
ft10 spirax sarco,疏水阀,product,official-search
r16c spirax sarco,监测器,pending,Spiratec trap monitor
spirax sarco b1-x-75,疏水阀,pending,official-installation-doc
lcv2 spirax sarco,止回阀,pending,official-search
dbb3 spirax sarco,截止阀,pending,confirmed-variant
spirax sarco bcr3250,排污控制器,pending,confirmed-variant
ke43 spirax sarco,控制阀,pending,confirmed-variant
lcv1 spirax sarco,止回阀,pending,confirmed-variant
spirax sarco el7213a-se,执行器,pending,confirmed-variant
spirax sarco el7213a,执行器,pending,confirmed-variant
spirax sarco el7213ase,执行器,pending,confirmed-variant
utd30l spirax sarco,疏水阀,pending,confirmed-variant
lc1300 spirax sarco,液位控制器,pending,confirmed-variant
spirax sarco lc1300,液位控制器,pending,confirmed-variant
spirax sarco cp40,电导率感应器,pending,confirmed-variant
spirax sarco lc2610 damping,液位控制器,pending,confirmed-variant
spirax sarco lc2610 manual,液位控制器,pending,confirmed-variant
spirax sarco-lc2610,液位控制器,pending,confirmed-variant
spirax sarco lp21,液位感应器,pending,confirmed-variant
spirax sarco r16c,监测器,pending,confirmed-variant
tss300 spirax sarco,疏水阀,pending,confirmed-variant
spirax sarco el5600,执行器,pending,EL5600 series actuator
spirax sarco el5601,执行器,pending,EL5600 series actuator
spirax sarco el5611,执行器,pending,EL5600 series actuator
spirax sarco el5611 manual,执行器,pending,EL5600 series actuator
spirax sarco el5614,执行器,pending,EL5600 series actuator
spirax sarco el5621,执行器,pending,EL5600 series actuator
spirax sarco up100,监测器,product,official-search
cs10 spirax sarco,汽水分离器,pending,local-doc-confirmed
dm13 spirax sarco,电磁阀,pending,local-doc-confirmed
spirax sarco dm21,电磁阀,pending,local-doc-confirmed
kea43 spirax sarco,控制阀,pending,local-doc-confirmed
kea73 spirax sarco,控制阀,pending,local-doc-confirmed
spirax sarco kea43,控制阀,pending,local-doc-confirmed
spirax sarco kea73,控制阀,pending,local-doc-confirmed
spirax sarco le31,控制阀,pending,local-doc-confirmed
spirax sarco lea33,控制阀,pending,local-doc-confirmed
spirax sarco ql33d,控制阀,pending,local-doc-confirmed
spirax sarco ql33d dn50,控制阀,pending,local-doc-confirmed
spirax sarco f50c,截止阀,pending,local-doc-confirmed
spirax sarco srv6,减压阀,product,SRV6 -> 减压阀 (batch-34; 本地资料库/官网型号语义确认)
bc 3200 spirax sarco,排污控制器,,BC-3200 -> 排污控制器 (batch-34; 本地资料库/官网型号语义确认)
spirax sarco sx100-1 manual,过程控制器,,SX100-1 -> 过程控制器 (batch-34; 本地资料库/官网型号语义确认)
2 spirax sarco ft-185,疏水阀,,FT-185 -> 疏水阀 (batch-34; 本地资料库/官网型号语义确认)
attuatore pneumatico spirax sarco pn3232,执行器,,PN3232 -> 执行器 (batch-34; 本地资料库/官网型号语义确认)
attuatore spirax sarco pn3326,执行器,,PN3326 -> 执行器 (batch-34; 本地资料库/官网型号语义确认)
b3s spirax sarco,疏水阀,,B3S -> 疏水阀 (batch-34; 本地资料库/官网型号语义确认)
bc3050 spirax sarco,排污控制器,,BC3050 -> 排污控制器 (batch-34; 本地资料库/官网型号语义确认)
bpt1 ax 1 2 bsp cap nts spirax sarco,疏水阀,,BPT1 -> 疏水阀 (batch-34; 本地资料库/官网型号语义确认)
brv25 spirax sarco,减压阀,,BRV-25 -> 减压阀 (batch-34; 本地资料库/官网型号语义确认)
clean steam generator-spirax sarco model blu-800-2000-6000,洁净蒸汽发生器,,BLU-800-2000-6000 -> 洁净蒸汽发生器 (batch-34; 本地资料库/官网型号语义确认)
d16 spirax sarco ft1-125,疏水阀,,FT1-125 -> 疏水阀 (batch-34; 本地资料库/官网型号语义确认)
dp23 spirax sarco,减压阀,,DP23 -> 减压阀 (batch-34; 本地资料库/官网型号语义确认)
dp25 spirax sarco,减压阀,,DP25 -> 减压阀 (batch-34; 本地资料库/官网型号语义确认)
dpy27y spirax sarco,减压阀,,DPY27Y -> 减压阀 (batch-34; 本地资料库/官网型号语义确认)
drv3 spirax sarco,减压阀,,DRV3 -> 减压阀 (batch-34; 本地资料库/官网型号语义确认)
f34 spirax sarco,过滤器,,F34 -> 过滤器 (batch-34; 本地资料库/官网型号语义确认)
fig33 spirax sarco,过滤器,,FIG33 -> 过滤器 (batch-34; 本地资料库/官网型号语义确认)
ft 200 spirax sarco,疏水阀,,FT-200 -> 疏水阀 (batch-34; 本地资料库/官网型号语义确认)
ft-150 spirax sarco,疏水阀,,FT-150 -> 疏水阀 (batch-34; 本地资料库/官网型号语义确认)
ft-30 spirax sarco,疏水阀,,FT-30 -> 疏水阀 (batch-34; 本地资料库/官网型号语义确认)
ft1414 spirax sarco,疏水阀,,FT1414 -> 疏水阀 (batch-34; 本地资料库/官网型号语义确认)
ft144 5 spirax sarco,疏水阀,,FT144 -> 疏水阀 (batch-34; 本地资料库/官网型号语义确认)
ft17 spirax sarco,疏水阀,,FT17 -> 疏水阀 (batch-34; 本地资料库/官网型号语义确认)
ft20 spirax sarco,疏水阀,,FT20 -> 疏水阀 (batch-34; 本地资料库/官网型号语义确认)
ft3221 spirax sarco,疏水阀,,FT3221 -> 疏水阀 (batch-34; 本地资料库/官网型号语义确认)
ft4310 spirax sarco,疏水阀,,FT4310 -> 疏水阀 (batch-34; 本地资料库/官网型号语义确认)
ft43h-10 spirax sarco,疏水阀,,FT43H-10 -> 疏水阀 (batch-34; 本地资料库/官网型号语义确认)
ft461 spirax sarco,疏水阀,,FT461 -> 疏水阀 (batch-34; 本地资料库/官网型号语义确认)
ft461-4htb spirax sarco,疏水阀,,FT461-4HTB -> 疏水阀 (batch-34; 本地资料库/官网型号语义确认)
ftb-125 spirax sarco,疏水阀,,FTB-125 -> 疏水阀 (batch-34; 本地资料库/官网型号语义确认)
ftb-200 spirax sarco,疏水阀,,FTB-200 -> 疏水阀 (batch-34; 本地资料库/官网型号语义确认)
ftb17597 spirax sarco,疏水阀,,FTB17597 -> 疏水阀 (batch-34; 本地资料库/官网型号语义确认)
ftb200 spirax sarco,疏水阀,,FTB-200 -> 疏水阀 (batch-34; 本地资料库/官网型号语义确认)
ftsg14 spirax sarco,疏水阀,,FTSG14 -> 疏水阀 (batch-34; 本地资料库/官网型号语义确认)
ke71 spirax sarco,控制阀,,KE71 -> 控制阀 (batch-34; 本地资料库/官网型号语义确认)
lc1000 spirax sarco,液位控制器,,LC1000 -> 液位控制器 (batch-34; 本地资料库/官网型号语义确认)
lc1130 spirax sarco,液位控制器,,LC1130 -> 液位控制器 (batch-34; 本地资料库/官网型号语义确认)
lcv4 spirax sarco,止回阀,,LCV4 -> 止回阀 (batch-34; 本地资料库/官网型号语义确认)
le3 spirax sarco,控制阀,,LE3 -> 控制阀 (batch-34; 本地资料库/官网型号语义确认)
lea63 spirax sarco,控制阀,,LEA63 -> 控制阀 (batch-34; 本地资料库/官网型号语义确认)
m10ti iso spirax sarco,球阀,,M10TI -> 球阀 (batch-34; 本地资料库/官网型号语义确认)
m10v spirax sarco,球阀,,M10V -> 球阀 (batch-34; 本地资料库/官网型号语义确认)
m10v2 spirax sarco,球阀,,M10V2 -> 球阀 (batch-34; 本地资料库/官网型号语义确认)
m10vi iso spirax sarco manual pdf,球阀,,M10VI -> 球阀 (batch-34; 本地资料库/官网型号语义确认)
m40i spirax sarco,球阀,,M40I -> 球阀 (batch-34; 本地资料库/官网型号语义确认)
m40s spirax sarco,球阀,,M40S -> 球阀 (batch-34; 本地资料库/官网型号语义确认)
mst21h spirax sarco,疏水阀,,MST21H -> 疏水阀 (batch-34; 本地资料库/官网型号语义确认)
pf5 spirax sarco,角阀,,PF5 -> 角阀 (batch-34; 本地资料库/官网型号语义确认)
pf51 spirax sarco,角阀,,PF51 -> 角阀 (batch-34; 本地资料库/官网型号语义确认)
pf63g spirax sarco,角阀,,PF63G -> 角阀 (batch-34; 本地资料库/官网型号语义确认)
pn3000 spirax sarco,执行器,,PN3000 -> 执行器 (batch-34; 本地资料库/官网型号语义确认)
pn9100 spirax sarco,执行器,,PN9100 -> 执行器 (batch-34; 本地资料库/官网型号语义确认)
pt100 spirax sarco,温度传感器,,PT100 -> 温度传感器 (batch-34; 本地资料库/官网型号语义确认)
pt100 spirax sarco conexiones,温度传感器,,PT100 -> 温度传感器 (batch-34; 本地资料库/官网型号语义确认)
ql43d spirax sarco,控制阀,,QL43D -> 控制阀 (batch-34; 本地资料库/官网型号语义确认)
sbp30 spirax sarco,疏水阀,,SBP30 -> 疏水阀 (batch-34; 本地资料库/官网型号语义确认)
sensor pt100 spirax sarco conexiones,温度传感器,,PT100 -> 温度传感器 (batch-34; 本地资料库/官网型号语义确认)
spirax sarco 2gd bva340,执行器,,BVA340 -> 执行器 (batch-34; 本地资料库/官网型号语义确认)
spirax sarco ael51211jx,执行器,,AEL51211JX -> 执行器 (batch-34; 本地资料库/官网型号语义确认)
spirax sarco ael62211jx,执行器,,AEL62211JX -> 执行器 (batch-34; 本地资料库/官网型号语义确认)
spirax sarco ael62213 fs,执行器,,AEL62213 -> 执行器 (batch-34; 本地资料库/官网型号语义确认)
spirax sarco ael63213fx,执行器,,AEL63213FX -> 执行器 (batch-34; 本地资料库/官网型号语义确认)
spirax sarco ael63231js,执行器,,AEL63231JS -> 执行器 (batch-34; 本地资料库/官网型号语义确认)
spirax sarco ael64221js,执行器,,AEL64221JS -> 执行器 (batch-34; 本地资料库/官网型号语义确认)
spirax sarco ahl1,执行器,,AHL1 -> 执行器 (batch-34; 本地资料库/官网型号语义确认)
spirax sarco b1hs 30,疏水阀,,B1HS -> 疏水阀 (batch-34; 本地资料库/官网型号语义确认)
spirax sarco b1hs-125,疏水阀,,B1HS-125 -> 疏水阀 (batch-34; 本地资料库/官网型号语义确认)
spirax sarco b1hs-250,疏水阀,,B1HS-250 -> 疏水阀 (batch-34; 本地资料库/官网型号语义确认)
spirax sarco b3-30,疏水阀,,B3-30 -> 疏水阀 (batch-34; 本地资料库/官网型号语义确认)
spirax sarco b3-75,疏水阀,,B3-75 -> 疏水阀 (batch-34; 本地资料库/官网型号语义确认)
spirax sarco bc-3200 3210,排污控制器,,BC-3200 -> 排污控制器 (batch-34; 本地资料库/官网型号语义确认)
spirax sarco bc3100,排污控制器,,BC3100 -> 排污控制器 (batch-34; 本地资料库/官网型号语义确认)
spirax sarco bc3200 manual,排污控制器,,BC-3200 -> 排污控制器 (batch-34; 本地资料库/官网型号语义确认)
spirax sarco bcv31,控制阀,,BCV31 -> 控制阀 (batch-34; 本地资料库/官网型号语义确认)
spirax sarco bcv41,控制阀,,BCV41 -> 控制阀 (batch-34; 本地资料库/官网型号语义确认)
spirax sarco bcv43dn20,控制阀,,BCV43DN20 -> 控制阀 (batch-34; 本地资料库/官网型号语义确认)
spirax sarco bh-75,疏水阀,,BH-75 -> 疏水阀 (batch-34; 本地资料库/官网型号语义确认)
spirax sarco bma51 b1000117,控制阀,,BMA51 -> 控制阀 (batch-34; 本地资料库/官网型号语义确认)
spirax sarco bps32cv,疏水阀,,BPS32CV -> 疏水阀 (batch-34; 本地资料库/官网型号语义确认)
spirax sarco brv-25,减压阀,,BRV-25 -> 减压阀 (batch-34; 本地资料库/官网型号语义确认)
spirax sarco brv25,减压阀,,BRV-25 -> 减压阀 (batch-34; 本地资料库/官网型号语义确认)
spirax sarco bt16 trap,疏水阀,,BT16 -> 疏水阀 (batch-34; 本地资料库/官网型号语义确认)
spirax sarco bt16b manual,疏水阀,,BT16B -> 疏水阀 (batch-34; 本地资料库/官网型号语义确认)
spirax sarco bts2,疏水阀,,BTS2 -> 疏水阀 (batch-34; 本地资料库/官网型号语义确认)
spirax sarco bva325s 14,执行器,,BVA325S -> 执行器 (batch-34; 本地资料库/官网型号语义确认)
spirax sarco bx2,控制阀,,BX2 -> 控制阀 (batch-34; 本地资料库/官网型号语义确认)
spirax sarco bx6,控制阀,,BX6 -> 控制阀 (batch-34; 本地资料库/官网型号语义确认)
spirax sarco ca46s21,疏水阀,,CA46S21 -> 疏水阀 (batch-34; 本地资料库/官网型号语义确认)
spirax sarco dm582a,电磁阀,,DM582A -> 电磁阀 (batch-34; 本地资料库/官网型号语义确认)
spirax sarco dp143e,减压阀,,DP143E -> 减压阀 (batch-34; 本地资料库/官网型号语义确认)
spirax sarco dp17e,减压阀,,DP17E -> 减压阀 (batch-34; 本地资料库/官网型号语义确认)
spirax sarco dp17r,减压阀,,DP17R -> 减压阀 (batch-34; 本地资料库/官网型号语义确认)
spirax sarco dp17s precio,减压阀,,DP17S -> 减压阀 (batch-34; 本地资料库/官网型号语义确认)
spirax sarco dp610,减压阀,,DP610 -> 减压阀 (batch-34; 本地资料库/官网型号语义确认)
spirax sarco drv2s,减压阀,,DRV2S -> 减压阀 (batch-34; 本地资料库/官网型号语义确认)
spirax sarco f50,截止阀,,F50 -> 截止阀 (batch-34; 本地资料库/官网型号语义确认)
spirax sarco fc50,截止阀,,FC50 -> 截止阀 (batch-34; 本地资料库/官网型号语义确认)
spirax sarco ft 200,疏水阀,,FT-200 -> 疏水阀 (batch-34; 本地资料库/官网型号语义确认)
spirax sarco ft-185,疏水阀,,FT-185 -> 疏水阀 (batch-34; 本地资料库/官网型号语义确认)
spirax sarco ft-44v,疏水阀,,FT-44V -> 疏水阀 (batch-34; 本地资料库/官网型号语义确认)
spirax sarco ft144 5,疏水阀,,FT144 -> 疏水阀 (batch-34; 本地资料库/官网型号语义确认)
spirax sarco ft145,疏水阀,,FT145 -> 疏水阀 (batch-34; 本地资料库/官网型号语义确认)
spirax sarco ft14c,疏水阀,,FT14C -> 疏水阀 (batch-34; 本地资料库/官网型号语义确认)
spirax sarco ft200,疏水阀,,FT-200 -> 疏水阀 (batch-34; 本地资料库/官网型号语义确认)
spirax sarco ft2075,疏水阀,,FT2075 -> 疏水阀 (batch-34; 本地资料库/官网型号语义确认)
spirax sarco ft4310,疏水阀,,FT4310 -> 疏水阀 (batch-34; 本地资料库/官网型号语义确认)
spirax sarco ft43v,疏水阀,,FT43V -> 疏水阀 (batch-34; 本地资料库/官网型号语义确认)
spirax sarco ft55,疏水阀,,FT55 -> 疏水阀 (batch-34; 本地资料库/官网型号语义确认)
spirax sarco ft55 tv,疏水阀,,FT55 -> 疏水阀 (batch-34; 本地资料库/官网型号语义确认)
spirax sarco ft57,疏水阀,,FT57 -> 疏水阀 (batch-34; 本地资料库/官网型号语义确认)
spirax sarco ft57h,疏水阀,,FT57H -> 疏水阀 (batch-34; 本地资料库/官网型号语义确认)
spirax sarco fv50,闪蒸罐,,FV50 -> 闪蒸罐 (batch-34; 本地资料库/官网型号语义确认)
spirax sarco ke31,控制阀,,KE31 -> 控制阀 (batch-34; 本地资料库/官网型号语义确认)
spirax sarco lcs1000,液位控制器,,LCS1000 -> 液位控制器 (batch-34; 本地资料库/官网型号语义确认)
spirax sarco ll33 ptsuss.2,控制阀,,LL33 -> 控制阀 (batch-34; 本地资料库/官网型号语义确认)
spirax sarco m10hi2,球阀,,M10HI2 -> 球阀 (batch-34; 本地资料库/官网型号语义确认)
spirax sarco m10v2rb,球阀,,M10V2RB -> 球阀 (batch-34; 本地资料库/官网型号语义确认)
spirax sarco m10vi4,球阀,,M10VI4 -> 球阀 (batch-34; 本地资料库/官网型号语义确认)
spirax sarco m33f2,球阀,,M33F2 -> 球阀 (batch-34; 本地资料库/官网型号语义确认)
spirax sarco m60g,球阀,,M60G -> 球阀 (batch-34; 本地资料库/官网型号语义确认)
spirax sarco m60v,球阀,,M60V -> 球阀 (batch-34; 本地资料库/官网型号语义确认)
spirax sarco pn1000,执行器,,PN1000 -> 执行器 (batch-34; 本地资料库/官网型号语义确认)
spirax sarco pn3436,执行器,,PN3436 -> 执行器 (batch-34; 本地资料库/官网型号语义确认)
spirax sarco pn9337e,执行器,,PN9337E -> 执行器 (batch-34; 本地资料库/官网型号语义确认)
spirax sarco pn9420,执行器,,PN9420 -> 执行器 (batch-34; 本地资料库/官网型号语义确认)
spirax sarco reduceer irv-2,减压阀,,IRV-2 -> 减压阀 (batch-34; 本地资料库/官网型号语义确认)
